domain,price,description,for_sale,personal_store,auto_renew,tags,unicode,descript-IDNA,translate-IDNA
bestsoundtrack,11,,True,True,True,,,,
enjoythemoments,11,,True,True,True,,,,
lemonfa,11,,True,True,True,,,,
zledgehog,11,,True,True,True,,,,
greymobile,11,,True,True,True,,,,
barnaclebob,11,"An octopus from the Freddi Fish series; he always says everything in rhyme.... OR .... A celebrity living among a group of people, unknown.",True,True,True,,,,
boggyplain,11,,True,True,True,,,,
facebookhelp,11,,True,True,True,,,,
ambonga,11,,True,True,True,,,,
charababil,11,"village in Raipur, India",True,True,True,,,,
spacecraft-shop,11,,True,True,True,,,,
respondwell,11,,True,True,True,,,,
comunidadrodeo,11,ES community rodeo,True,True,True,,,,
tipure,11,,True,True,True,,,,
timarci,11,"located in Bosnia and Herzegovina about 102 mi (or 163 km) north-west of Sarajevo, the country's capital",True,True,True,,,,
meetblockchain,11,,True,True,True,,,,
arroiodaseca,11,PT stream-drought,True,True,True,,,,
pervici,11,perv is he',True,True,True,,,,
arrieiro,11,Galician carrier,True,True,True,,,,
dellage,11,,True,True,True,,,,
smilesdebit,11,,True,True,True,,,,
pharmapurse,11,,True,True,True,,,,
coindav,11,,True,True,True,,,,
digitaldoza,11,,True,True,True,,,,
damerchar,11,,True,True,True,,,,
buzinanbi,11,PT 'horn horn',True,True,True,,,,
exportsy,11,,True,True,True,,,,
temptio,11,,True,True,True,,,,
stalkia,11,,True,True,True,,,,
hitcharide,11,,True,True,True,,,,
wikimonks,11,,True,True,True,,,,
nft169,11,,True,True,True,,,,
mylookout,11,,True,True,True,,,,
utkur,11,,True,True,True,5L,,,
devle,11,,True,True,True,5L,,,
fauzen,11,,True,True,True,,,,
dipha,11,,True,True,True,5L,,,
atimise,11,,True,True,True,,,,
tardan,11,,True,True,True,,,,
daouia,11,,True,True,True,,,,
blood-sausage,11,,True,True,True,,,,
amwongg,11,,True,True,True,,,,
egerritzen,11,,True,True,True,,,,
hahaquan,11,,True,True,True,,,,
awesomemaxim,11,,True,True,True,,,,
contagiousabortion,11,,True,True,True,,,,
beltandroadinitiative,11,,True,True,True,,,,
19700101,11,,True,True,True,,,,
badkarma,11,,True,True,True,,,,
goodkarma,11,,True,True,True,,,,
xn--2p8h3c,11,,True,True,True,PUNY_IDNA,💀👑,,
xn--5p9hga,11,,True,True,True,PUNY_IDNA,🤝🤠,,
xn--e77hiby7p,11,,True,True,True,PUNY_IDNA,🇦🇺🖕,,
fuhren,11,,True,True,True,,,,
goldenen,11,,True,True,True,,,,
addresso,11,,True,True,True,,,,
karmabet,11,,True,True,True,,,,
xn--2p8h4c,11,,True,True,True,PUNY_IDNA,👑💀,,
uri30,15,"Uniform Resource Identifier | URI-30 Bladder control,Stops Urges,Frequent Urination,Homeopathic Pills.Urinary Incontinence",True,True,True,5C,,,
takestan,20,"Siadehan or Siaden, aka Takestan, is a city and capital of Takestan County, in Qazvin Province, Iran; literally means vineyard"".""",True,True,True,,,,
noob21,21,,True,True,True,,,,
hetviswater,22,Dutch 'the fishing water',True,True,True,,,,
hetvischwater,22,Dutch 'the fishing water',True,True,True,,,,
darknet22,22,,True,True,True,,,,
noob22,22,,True,True,True,,,,
xn--cz8ha61y,22,,True,True,True,PUNY_IDNA,🖕🤚🖕,,
xn--cz8ha914a,22,,True,True,True,PUNY_IDNA,🖕🧣🖕,,
xn--ai-on6cx8l,22,ai domain name,True,True,True,"PUNY_IDNA,CJK",ai域名,Chinese/Japanese/Korean,ai domain name
xn--ipad-kt5fz95h,22,second hand ipad,True,True,True,"PUNY_IDNA,CJK",二手ipad,Chinese/Japanese/Korean,second hand ipad
xn--4kqw3e63mcrc,22,Second Public Security Division,True,True,True,"PUNY_IDNA,CJK",公安二师,Chinese/Japanese/Korean,Second Public Security Division
xn--5suv74k,22,,True,True,True,"PUNY_IDNA,CJK",拉麵,Chinese/Japanese/Korean,拉麵
xn--zz-dh3c,22,Ren zz,True,True,True,"PUNY_IDNA,CJK",任zz,Chinese/Japanese/Korean,Ren zz
xn--ihqur60ar5y,22,I don’t believe it today,True,True,True,"PUNY_IDNA,CJK",今天不信,Chinese/Japanese/Korean,I don’t believe it today
xn--fiq23l18g,22,Anka middle school,True,True,True,"PUNY_IDNA,CJK",安可中,Chinese/Japanese/Korean,Anka middle school
xn--69qa8270d,22,Long Ao Ao,True,True,True,"PUNY_IDNA,CJK",龙凹凹,Chinese/Japanese/Korean,Long Ao Ao
xn--3bs63j2w3c,22,Group class,True,True,True,"PUNY_IDNA,CJK",团小课,Chinese/Japanese/Korean,Group class
xn--dvso25e,22,Wanqi,True,True,True,"PUNY_IDNA,CJK",妄祁,Chinese/Japanese/Korean,Wanqi
xn--uxqy9saa,22,,True,True,True,"PUNY_IDNA,CJK",大大大偉,Chinese/Japanese/Korean,大大大偉
xn--p5t330d,22,DeTao,True,True,True,"PUNY_IDNA,CJK",德稻,Chinese/Japanese/Korean,DeTao
xn--fiq92vjza28m9wtsyo,22,civilians in heaven,True,True,True,"PUNY_IDNA,CJK",天堂中的平民,Chinese/Japanese/Korean,civilians in heaven
inorderto,22,,True,True,True,,,,
medibazaar,22,,True,True,True,,,,
badneck,22,,True,True,True,,,,
twoboss,22,,True,True,True,,,,
fatalcohol,22,fatal alcohol | fat alcohol,True,True,True,,,,
sirgas,22,,True,True,True,,,,
momhost,22,,True,True,True,,,,
dadsell,22,,True,True,True,,,,
dayperson,22,,True,True,True,,,,
adatao,22,,True,True,True,,,,
shakendip,22,,True,True,True,,,,
foodreactions,22,,True,True,True,,,,
gynecomania,22,Extreme sexual desire in the male; a compulsive desire for female sex partners,True,True,True,,,,
waytask,22,,True,True,True,,,,
twoloan,22,,True,True,True,,,,
sirwish,22,,True,True,True,,,,
yearnto,22,,True,True,True,,,,
salutoria,22,IT 'salutary',True,True,True,,,,
lustfor,22,,True,True,True,,,,
alwayslost,22,,True,True,True,,,,
mybrokensea,22,,True,True,True,,,,
tastetomint,22,,True,True,True,,,,
baba-jaga,22,,True,True,True,,,,
divvied,22,,True,True,True,,,,
mikredki,22,,True,True,True,,,,
hyphenstudio,22,,True,True,True,,,,
doubleorquits,22,,True,True,True,,,,
childoriented,22,,True,True,True,,,,
kungfunecktie,22,,True,True,True,,,,
touchass,22,,True,True,True,,,,
panprog,22,,True,True,True,,,,
bromised,22,bro promise[d],True,True,True,,,,
desalinated,22,,True,True,True,,,,
pterophorid,22,"tiny plume moths, a family of Lepidoptera with unusually modified wings",True,True,True,,,,
misseat,22,miss-eat \ miss-seat,True,True,True,,,,
rantize,22,,True,True,True,,,,
geeksquare,22,,True,True,True,,,,
gymaesthetics,22,,True,True,True,,,,
snowboardhire,22,,True,True,True,,,,
afrostudio,22,,True,True,True,,,,
sitalone,22,,True,True,True,,,,
amemelord,22,,True,True,True,,,,
marspaceship,22,,True,True,True,,,,
busyguru,22,,True,True,True,,,,
insertdate,22,,True,True,True,,,,
ebay-nft,22,,True,True,True,,,,
apesmint,22,,True,True,True,,,,
friendlyname,22,,True,True,True,,,,
setcamera,22,,True,True,True,,,,
guccihat,22,,True,True,True,,,,
smash-the-bat,22,,True,True,True,,,,
shamcenter,22,,True,True,True,,,,
knightstalker,22,,True,True,True,,,,
burnparty,22,,True,True,True,,,,
feeldumb,22,,True,True,True,,,,
vextreme,22,,True,True,True,,,,
deadhead420,22,,True,True,True,,,,
understars,,,False,False,True,,,,
dreamwalking,22,,True,True,True,,,,
happydecay,22,,True,True,True,,,,
pensexpert,22,,True,True,True,,,,
sagepunk,22,,True,True,True,,,,
king-of-shit,22,,True,True,True,,,,
energy-up,22,,True,True,True,,,,
unosquare,22,,True,True,True,,,,
justsun,22,,True,True,True,,,,
losttoys,22,,True,True,True,,,,
retiredguy,22,,True,True,True,,,,
flashmatrix,22,,True,True,True,,,,
agemoon,22,,True,True,True,,,,
smokedaddy,22,,True,True,True,,,,
awetastic,22,,True,True,True,,,,
mojidad,22,,True,True,True,,,,
oneillusa,22,,True,True,True,,,,
lightyear0,22,,True,True,True,,,,
bluetrips,22,,True,True,True,,,,
uniquecapital,22,,True,True,True,,,,
elvesonline,22,,True,True,True,,,,
nationbase,22,,True,True,True,,,,
7two7,22,,True,True,True,5C,,,
dirtyphonics,22,,True,True,True,,,,
696-696,22,,True,True,True,,,,
thingtrade,22,,True,True,True,,,,
walkwin,,,False,False,True,,,,
pop-it,22,,True,True,True,,,,
usertrade,22,,True,True,True,,,,
flowlist,22,,True,True,True,,,,
clockpot,22,,True,True,True,,,,
mailfun,22,,True,True,True,,,,
windhide,22,,True,True,True,,,,
proofwin,22,,True,True,True,,,,
mailmenu,22,,True,True,True,,,,
worldbirth,22,,True,True,True,,,,
nytrucks,22,,True,True,True,,,,
tiemekangaroodown,22,,True,True,True,,,,
reunionnft,22,,True,True,True,,,,
unmoated,22,,True,True,True,,,,
shopreturn,22,,True,True,True,,,,
slogwood,22,,True,True,True,,,,
ridedragon,22,,True,True,True,,,,
returnbest,22,,True,True,True,,,,
slangular,22,,True,True,True,,,,
whackedout,22,,True,True,True,,,,
duediamond,22,,True,True,True,,,,
drawrein,22,,True,True,True,,,,
dragontalk,22,,True,True,True,,,,
dragontell,22,,True,True,True,,,,
horseroad,22,,True,True,True,,,,
peacemaxi,22,,True,True,True,,,,
devilbirth,22,,True,True,True,,,,
yellowrisk,22,,True,True,True,,,,
mapsmobile,22,,True,True,True,,,,
stirpiculturist,22,One who devotes themself to the improvement of the breed or stock in animals,True,True,True,,,,
yz01,22,,True,True,True,4C,,,
mixwriter,22,,True,True,True,,,,
transvests,22,,True,True,True,,,,
regularira,22,PT 'regular' | ES 'regularize',True,True,True,,,,
amibisexual,22,,True,True,True,,,,
cheapeat,22,,True,True,True,,,,
apologyvideo,22,,True,True,True,,,,
amemesia,22,"A disorder, where in which a person sends a meme to the same person again, or to whom initially showed them the same meme",True,True,True,,,,
assassassin,22,,True,True,True,,,,
stonerplay,22,,True,True,True,,,,
mapready,22,,True,True,True,,,,
runtofthelitter,22,,True,True,True,,,,
plurali,22,,True,True,True,,,,
avogadrian,22,,True,True,True,,,,
painsomnia,22,,True,True,True,,,,
ww2gear,22,,True,True,True,,,,
supersquid,22,,True,True,True,,,,
fidgetpad,22,,True,True,True,,,,
clothmask,22,,True,True,True,,,,
parysh,22,[parish],True,True,True,,,,
dimtsje,22,,True,True,True,,,,
mexicanpinatas,22,,True,True,True,,,,
manteaus,22,"plural noun: a loose gown or cloak worn by women in the 17th and 18th centuries \ a long, loose coat or overshirt worn by Muslim women.",True,True,True,,,,
boot-leg,22,,True,True,True,,,,
bolshoylog,22,"Botanical reserve of regional importance in Krasnensky District of the Belgorod Oblast, Russia.",True,True,True,,,,
b4buy,22,,True,True,True,5C,,,
teachaid,22,,True,True,True,,,,
xscapetour,22,,True,True,True,,,,
dishrv,22,,True,True,True,,,,
defineword,22,,True,True,True,,,,
booksused,22,,True,True,True,,,,
searchya,22,,True,True,True,,,,
arcadeshop,22,,True,True,True,,,,
bookyards,22,,True,True,True,,,,
simplefurniture,22,,True,True,True,,,,
tablefor2,22,,True,True,True,,,,
vorgeschlagen,22,"DE verb:\n suggest, propose, put forward, nominate, propound",True,True,True,,,,
traviezas,22,SP mischief,True,True,True,,,,
eachtoherown,22,,True,True,True,,,,
yourice,22,,True,True,True,,,,
kraftwerken,22,DE 'power plants noun: power station',True,True,True,,,,
painpal,22,,True,True,True,,,,
sensexoracle,22,,True,True,True,,,,
artmajors,22,,True,True,True,,,,
urbanforum,22,,True,True,True,,,,
booktrain,22,,True,True,True,,,,
rugbycamp,22,,True,True,True,,,,
travelfinds,,,False,False,True,,,,
beerfeast,22,,True,True,True,,,,
aztecmask,22,,True,True,True,,,,
turfcutter,22,,True,True,True,,,,
createjob,22,,True,True,True,,,,
stonetype,22,,True,True,True,,,,
colorword,22,,True,True,True,,,,
wildflowrs,22,,True,True,True,,,,
norise,22,"Latvian 'progress noun: procedure, process, run'",True,True,True,,,,
farmiliar,22,,True,True,True,,,,
tentcampers,,,False,False,True,,,,
moscowembassy,22,,True,True,True,,,,
stoptrafficking,22,,True,True,True,,,,
rainforesttours,,,False,False,True,,,,
leathersupplies,22,,True,True,True,,,,
hamburgerheaven,22,,True,True,True,,,,
mototravelers,22,,True,True,True,,,,
babywagon,22,,True,True,True,,,,
recipecart,22,,True,True,True,,,,
howtostartadiet,22,,True,True,True,,,,
earthchronicles,22,,True,True,True,,,,
fertilityfoods,22,,True,True,True,,,,
californiagold,22,,True,True,True,,,,
biologyforkids,22,,True,True,True,,,,
calendarjournal,22,,True,True,True,,,,
dudebrew,22,,True,True,True,,,,
ecoherald,22,,True,True,True,,,,
nicedear,22,,True,True,True,,,,
uneidlich,22,,True,True,True,,,,
cheappart,22,,True,True,True,,,,
depotrestaurant,22,,True,True,True,,,,
cookingwithbeer,22,,True,True,True,,,,
brooklyntourism,22,,True,True,True,,,,
creditprovider,22,,True,True,True,,,,
everythingcheap,22,,True,True,True,,,,
internetroaming,22,,True,True,True,,,,
getmeouttahere,22,,True,True,True,,,,
clearsunglasses,22,,True,True,True,,,,
equestriancoach,22,,True,True,True,,,,
onlineshopchina,22,,True,True,True,,,,
exhibitservice,22,,True,True,True,,,,
chaletski,22,,True,True,True,,,,
snowbrand,22,,True,True,True,,,,
siteologist,22,,True,True,True,,,,
deskheaven,22,,True,True,True,,,,
twofanatics,22,,True,True,True,,,,
rentboards,22,,True,True,True,,,,
xempted,22,,True,True,True,,,,
graduationnight,22,,True,True,True,,,,
activewager,22,,True,True,True,,,,
simfile,22,,True,True,True,,,,
xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,22,,True,True,True,,,,
raredrinks,22,,True,True,True,,,,
vaccinedesk,22,,True,True,True,,,,
familyfirewall,22,,True,True,True,,,,
europlus,22,,True,True,True,,,,
flag-store,22,,True,True,True,,,,
spanishdelight,22,,True,True,True,,,,
assassina,22,,True,True,True,,,,
protoprogram,22,,True,True,True,,,,
appproposal,22,,True,True,True,,,,
fortunetrain,22,,True,True,True,,,,
binaryarea,22,,True,True,True,,,,
bloodinstinct,22,,True,True,True,,,,
globalmachinery,22,,True,True,True,,,,
app1a,22,,True,True,True,5C,,,
archiex,22,,True,True,True,,,,
tronaut,22,,True,True,True,,,,
eatark,22,,True,True,True,,,,
rylife,22,,True,True,True,,,,
2finity,22,,True,True,True,,,,
treattrove,22,,True,True,True,,,,
travelzooz,22,,True,True,True,,,,
worldtrail,22,,True,True,True,,,,
giftxmas,22,,True,True,True,,,,
technothink,22,techno-think | tech-no-think,True,True,True,,,,
wealthworx,22,,True,True,True,,,,
morelaws,22,,True,True,True,,,,
healthmed,22,,True,True,True,,,,
eatfrenzy,22,,True,True,True,,,,
unlipped,22,,True,True,True,,,,
earmint,22,,True,True,True,,,,
dimuanya,22,Indonesian 'in all'; Angolan town.,True,True,True,,,,
birthdaybot,22,,True,True,True,,,,
tweenparty,22,,True,True,True,,,,
xn--53h0179n6wabe48i,22,-bee-tea-see-rocket-moon-,True,True,True,PUNY_IDNA,🐝☕👀🚀🌑,,
ndations,22,,True,True,True,,,,
poppizzazz,22,,True,True,True,,,,
cevichebar,22,,True,True,True,,,,
blackflat,22,"coffee, or bitumen ... ?? :-)",True,True,True,,,,
bluffrock,22,,True,True,True,,,,
blueknob,22,,True,True,True,,,,
biddeston,22,"Rural town and locality in the Toowoomba Region, Queensland, Australia. In the 2016 census, Biddeston had a population of 284 people.",True,True,True,,,,
vulpmes,22,,True,True,True,,,,
changestate,22,,True,True,True,,,,
bananapocket,22,"Town in Whitsunday (Queensland) is a town in Australia ... or .. is that a banana in your pocket, or are you just glad to see me...?",True,True,True,,,,
fliyer,22,[flier\flyer],True,True,True,,,,
twitwise,22,,True,True,True,,,,
closetimes,22,,True,True,True,,,,
chainarts,22,,True,True,True,,,,
thatblockchain,22,,True,True,True,,,,
hangblockchain,22,,True,True,True,,,,
ucubit,22,,True,True,True,,,,
onestraw,22,,True,True,True,,,,
eartharoma,22,,True,True,True,,,,
kaliyuga,22,,True,True,True,,,,
dighair,22,,True,True,True,,,,
diganga,22,,True,True,True,,,,
grabezmala,22,BU 'grabbed' .. \ni grabbed it - you can too!,True,True,True,,,,
tiskovac,22,"Czech 'printer' [OR .. a place is situated in Zadar-Knin, Croatia]",True,True,True,,,,
betraders,22,,True,True,True,,,,
galaxyglow,22,,True,True,True,,,,
srednje,22,Slovenian 'medium',True,True,True,,,,
spasovnica,22,BU lifeguard,True,True,True,,,,
changeblockchain,22,,True,True,True,,,,
yummyfoodbites,22,,True,True,True,,,,
supernovaremnant,22,,True,True,True,,,,
axinim,22,axin' 'im [giving him the boot\sack],True,True,True,,,,
azevedosodre,22,PT sourdough,True,True,True,,,,
dondaii,22,,True,True,True,,,,
bamnia,22,"Jhabua district, Madhya Pradesh, India",True,True,True,,,,
banbaria,22,,True,True,True,,,,
tilava,22,FI 'spacious',True,True,True,,,,
spraca,22,PO runs back,True,True,True,,,,
srebrnik,22,Slovenian silver,True,True,True,,,,
spreca,22,IT 'wastes',True,True,True,,,,
podgalevi,22,BU subchapters,True,True,True,,,,
posern,22,"Was a province of Prussia; present-day Poznań, Poland - https://en.wikipedia.org/wiki/Province_of_Posen [also surname]",True,True,True,,,,
argolas,22,"PT ring, hoop, link",True,True,True,,,,
baiabranca,22,PT white bay,True,True,True,,,,
osterwasser,22,,True,True,True,,,,
banagram,22,,True,True,True,,,,
ovcari,22,Bosnian 'sheep',True,True,True,,,,
ozreni,22,BU 'mature',True,True,True,,,,
sping,22,,True,True,True,5L,,,
dynotic,22,,True,True,True,,,,
qwipper,22,,True,True,True,,,,
windivo,22,,True,True,True,,,,
pubmata,22,,True,True,True,,,,
biairdrop,22,,True,True,True,,,,
habitsaver,22,,True,True,True,,,,
digitallivre,22,,True,True,True,,,,
bucketing,22,,True,True,True,,,,
growdao,22,,True,True,True,,,,
noshnest,22,,True,True,True,,,,
dirke,22,,True,True,True,5L,,,
chakratala,22,small cymbals,True,True,True,,,,
deodasa,22,PT 'toothy',True,True,True,,,,
bychikha,22,,True,True,True,,,,
damaoil,22,Scots Gaelic 'damages',True,True,True,,,,
chakrapara,22,ES chakra 'to\for',True,True,True,,,,
bushmin,22,,True,True,True,,,,
bungenie,22,,True,True,True,,,,
buzingo,22,PT 'horn',True,True,True,,,,
bet-wins,22,,True,True,True,,,,
budslaw,22,,True,True,True,,,,
sablayan,22,"officially the Municipality of Sablayan, is a 1st class municipality in the province of Occidental Mindoro, Philippines.",True,True,True,,,,
rotaitalia,22,Rota Italia,True,True,True,,,,
fishingonthechain,,,False,False,True,,,,
slamfun,22,,True,True,True,,,,
zhnsi,22,,True,True,True,5L,,,
xrpaustralia,22,,True,True,True,,,,
wikisage,22,,True,True,True,,,,
globallynomadic,22,,True,True,True,,,,
ziesar,22,,True,True,True,,,,
chainrek,22,,True,True,True,,,,
usdsos,22,US Dollar (USD) \ Somali Shilling (SOS) [Notation],True,True,True,,,,
elmac,22,,True,True,True,5L,,,
greycos,22,,True,True,True,,,,
imrah,22,,True,True,True,5L,,,
festivalist,22,,True,True,True,,,,
tincanblues,22,,True,True,True,,,,
herblot,22,,True,True,True,,,,
labyrinthos,22,,True,True,True,,,,
toskas,22,,True,True,True,,,,
serbis,22,,True,True,True,,,,
gohare,22,,True,True,True,,,,
reedah,22,,True,True,True,,,,
prayas,22,,True,True,True,,,,
majiko,22,,True,True,True,,,,
trigolo,22,,True,True,True,,,,
pritty,22,,True,True,True,,,,
funodd,22,,True,True,True,,,,
toplot,22,,True,True,True,,,,
celeres,22,,True,True,True,,,,
grezin,22,,True,True,True,,,,
segonds,22,,True,True,True,,,,
px__xq,22,,True,True,True,,,,
saluh,22,,True,True,True,5L,,,
marmoz,22,,True,True,True,,,,
medeus,22,,True,True,True,,,,
brilo,22,,True,True,True,5L,,,
isavi,22,,True,True,True,5L,,,
dokrat,22,,True,True,True,,,,
wondah,22,,True,True,True,,,,
ensmind,22,,True,True,True,,,,
hyart,22,,True,True,True,5L,,,
eversham,22,,True,True,True,,,,
allfact,22,,True,True,True,,,,
lowage,22,,True,True,True,,,,
primetip,22,,True,True,True,,,,
siguret,22,,True,True,True,,,,
anypain,22,,True,True,True,,,,
ernar,22,,True,True,True,5L,,,
kthrash,22,,True,True,True,,,,
oronas,22,,True,True,True,,,,
sewah,22,,True,True,True,5L,,,
artpsycho,22,,True,True,True,,,,
mulletsfishcamp,22,,True,True,True,,,,
rerolle,22,,True,True,True,,,,
pechenet,22,,True,True,True,,,,
buildsolar,22,,True,True,True,,,,
kompus,22,,True,True,True,,,,
farizon,22,,True,True,True,,,,
guiddir,22,,True,True,True,,,,
fabtec,22,,True,True,True,,,,
shitheap,22,,True,True,True,,,,
euromade,22,,True,True,True,,,,
namewisdom,22,,True,True,True,,,,
cloudokids,22,,True,True,True,,,,
certech,22,,True,True,True,,,,
statcorner,22,,True,True,True,,,,
justgeneric,22,,True,True,True,,,,
spacemanyang,22,,True,True,True,,,,
bboying,22,,True,True,True,,,,
healersathome,22,,True,True,True,,,,
toxinfo,22,,True,True,True,,,,
crewnow,22,,True,True,True,,,,
deficalendar,22,,True,True,True,,,,
savagekingdom,22,,True,True,True,,,,
mywreck,22,,True,True,True,,,,
allmugs,22,,True,True,True,,,,
onebadday,22,,True,True,True,,,,
eatsshootsandleaves,22,,True,True,True,,,,
wafflings,22,,True,True,True,,,,
freeeeak,22,,True,True,True,,,,
nativeseed,22,,True,True,True,,,,
goodbasics,222,,True,True,True,,,,
bestdealtoday,22,,True,True,True,,,,
justgoodthings,22,,True,True,True,,,,
jobofwork,22,,True,True,True,,,,
craftgenius,22,,True,True,True,,,,
thrillbox,22,,True,True,True,,,,
carryshit,22,,True,True,True,,,,
findigo,22,,True,True,True,,,,
slybris,22,,True,True,True,,,,
canihavethat,22,,True,True,True,,,,
ruincrypto,22,,True,True,True,,,,
costumemania,22,,True,True,True,,,,
memetales,22,,True,True,True,,,,
thousandsuns,22,,True,True,True,,,,
kingdomchairs,22,,True,True,True,,,,
meditime,22,,True,True,True,,,,
futurepack,22,,True,True,True,,,,
pacificwine,22,,True,True,True,,,,
lookinmypc,22,,True,True,True,,,,
subworx,22,,True,True,True,,,,
brandget,22,,True,True,True,,,,
nftjail,22,,True,True,True,,,,
nftsilo,22,,True,True,True,,,,
prettyontheinside,22,,True,True,True,,,,
funnycrypto,22,,True,True,True,,,,
cryptospare,22,,True,True,True,,,,
reusedefi,22,,True,True,True,,,,
raisedefi,22,,True,True,True,,,,
dwarfnft,22,,True,True,True,,,,
biddingworks,22,,True,True,True,,,,
dog-weary,22,,True,True,True,,,,
bligation,22,,True,True,True,,,,
ouratlas,22,,True,True,True,,,,
voidnft,22,,True,True,True,,,,
monkeyyoga,22,,True,True,True,,,,
matchwedding,22,,True,True,True,,,,
conefrens,22,,True,True,True,,,,
cryptoruin,22,,True,True,True,,,,
naturewellbeing,22,,True,True,True,,,,
silonft,22,,True,True,True,,,,
nipplebanana,22,,True,True,True,,,,
nongisnong,22,,True,True,True,,,,
thegeekchic,22,,True,True,True,,,,
yourbestbud,22,,True,True,True,,,,
dwebshare,22,,True,True,True,,,,
mothballnft,22,,True,True,True,,,,
yourfortune,22,,True,True,True,,,,
noteat,22,,True,True,True,,,,
birdlime,22,,True,True,True,,,,
conductasurvey,22,,True,True,True,,,,
motheranddaughter,22,,True,True,True,,,,
dslrtripod,22,,True,True,True,,,,
cryptotwist,22,,True,True,True,,,,
usualcrypto,22,,True,True,True,,,,
mooctochina,22,,True,True,True,,,,
healthdocs,22,,True,True,True,,,,
pricedefi,22,,True,True,True,,,,
no-mad,,,False,False,True,,,,
grooveon,22,,True,True,True,,,,
goldsilverstandard,22,,True,True,True,,,,
sunseason,,,False,False,True,,,,
blowagasket,22,,True,True,True,,,,
mapactive,22,,True,True,True,,,,
webmeal,22,,True,True,True,,,,
earthgleam,22,,True,True,True,,,,
wyciwyg,22,,True,True,True,,,,
catboat,22,,True,True,True,,,,
