name,unicode,descript-IDNA,translate-IDNA,tags,expiry,value,maxBid,price,email,description
xn--d4x91d,番犬,Chinese/Japanese/Korean,watchdog,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,3,2222,,
xn--x4w487d,混账,Chinese/Japanese/Korean,Asshole,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,4,2222,,
xn--20t,引,Chinese/Japanese/Korean,lead,"PUNY_IDNA,CJK",18/01/2027 09:59:17,256,1073,2222,,
xn--w4h6840o,☯🕉,"Letters + YIN YANG, OM SYMBOL",,PUNY_IDNA,18/01/2027 09:59:17,0.001,0.1,99999,,
xn--n3cpfk1fc7m,ภาพถ่าย,Thai,photo,"PUNY_IDNA,Thai",18/01/2027 09:59:17,0,176,,,
xn--i77hha4ab,🇮🇸🇪🇸,REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER S + REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S,,PUNY_IDNA,18/01/2027 09:59:17,11,12,,,
xn--m77hua03o,🇮🇸🐴,REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER S + HORSE FACE,,PUNY_IDNA,18/01/2027 09:59:17,2,3,,,
xn--2023-uz33cpd,🇦🇺2023,REGIONAL INDICATOR SYMBOL LETTER A + REGIONAL INDICATOR SYMBOL LETTER U + DIGIT TWO + DIGIT ZERO + DIGIT TWO + DIGIT THREE,🇦🇺2023,PUNY_IDNA,18/01/2027 09:59:17,1.52,17,,,
xn--h4h1110oggax8d4wf,🐵🙃🤓👽☠,"Letters + MONKEY FACE, UPSIDE-DOWN FACE, NERD FACE, EXTRATERRESTRIAL ALIEN, SKULL AND CROSSBONES",,PUNY_IDNA,18/01/2027 09:59:17,36,50,,,
xn--y5gz882c,ꓷ↋,"Letters + LISU LETTER OE, TURNED DIGIT THREE",ꓷ↋,PUNY_IDNA,18/01/2027 09:59:17,0,0.5,,,
xn--i8f,ᴛ,Letters + LATIN LETTER SMALL CAPITAL T,ᴛ,PUNY_IDNA,18/01/2027 09:59:17,11.5,134,,,
xn--9na9hz85fpa,ʟɪᴋᴇ,"Letters + LATIN LETTER SMALL CAPITAL L, LATIN LETTER SMALL CAPITAL I, LATIN LETTER SMALL CAPITAL K, LATIN LETTER SMALL CAPITAL E",ʟɪᴋᴇ,PUNY_IDNA,18/01/2027 09:59:17,0,4,,,
xn--kw8hb76rba,🟢🔵🔴🟡,"Letters + LARGE GREEN CIRCLE, LARGE BLUE CIRCLE, LARGE RED CIRCLE, LARGE YELLOW CIRCLE",,PUNY_IDNA,18/01/2027 09:59:17,0,0,,,
xn--2p8h74h,🪢👑,"Letters + KNOT, CROWN",,PUNY_IDNA,18/01/2027 09:59:17,0,0.5,,,
xn--ns8hz2f,🦘💫,"Letters + KANGAROO, DIZZY SYMBOL",,PUNY_IDNA,18/01/2027 09:59:17,2.99,10.01,,,
xn--audrey-2u34ega,🌿audrey🌿,"Letters + HERB, HERB",🌿audrey🌿,PUNY_IDNA,18/01/2027 09:59:17,0,7,,,
xn--xvhkj,⓵⓺⓽,"Letters + DOUBLE CIRCLED DIGIT ONE, DOUBLE CIRCLED DIGIT SIX, DOUBLE CIRCLED DIGIT NINE",⓵⓺⓽,PUNY_IDNA,18/01/2027 09:59:17,0,2,,,
xn--timothy-us15f,timothy🕶,Letters + DARK SUNGLASSES,timothy🕶,PUNY_IDNA,18/01/2027 09:59:17,0,7,,,
xn--169-uc1abb,1⃣6⃣9⃣,"Letters + COMBINING ENCLOSING KEYCAP, COMBINING ENCLOSING KEYCAP, COMBINING ENCLOSING KEYCAP",1⃣6⃣9⃣,PUNY_IDNA,18/01/2027 09:59:17,0,0.5,,,
xn--3k8h9cp5ew0e,🏕🎣🗺🤓,"Letters + CAMPING, FISHING POLE AND FISH, WORLD MAP, NERD FACE",,PUNY_IDNA,18/01/2027 09:59:17,13.63,95,,,
xn--98h1888m,📷⛈,"Letters + CAMERA, THUNDER CLOUD AND RAIN",,PUNY_IDNA,18/01/2027 09:59:17,0,1,,,
xn--tu8hq1e,📷🤯,"Letters + CAMERA, SHOCKED FACE WITH EXPLODING HEAD",,PUNY_IDNA,18/01/2027 09:59:17,0,1,,,
xn--mh8h12a,📷🌩,"Letters + CAMERA, CLOUD WITH LIGHTNING",,PUNY_IDNA,18/01/2027 09:59:17,0,1,,,
xn--tu8haacbb,📷📸📷📸📷📸,"Letters + CAMERA, CAMERA WITH FLASH, CAMERA, CAMERA WITH FLASH, CAMERA, CAMERA WITH FLASH",,PUNY_IDNA,18/01/2027 09:59:17,0.5,21,,,
xn--tu8ha,📷📷,"Letters + CAMERA, CAMERA",,PUNY_IDNA,18/01/2027 09:59:17,150,165,,,
xn--photography-sb96j,📷photography,Letters + CAMERA,📷photography,PUNY_IDNA,18/01/2027 09:59:17,25,57,,,
xn--b6hggb,♦♠♣♥,"Letters + BLACK DIAMOND SUIT, BLACK SPADE SUIT, BLACK CLUB SUIT, BLACK HEART SUIT",,PUNY_IDNA,18/01/2027 09:59:17,42,44,,,
xn--dck9ctd,ティム,Japanese,tim,"PUNY_IDNA,Japanese",18/01/2027 09:59:17,0,157,,,
xn--qei1558m,❤💛,HEAVY BLACK HEART + YELLOW HEART,,PUNY_IDNA,18/01/2027 09:59:17,3.99,7,,,
xn--4o8hr3f,🤩🐰,GRINNING FACE WITH STAR EYES + RABBIT FACE,,PUNY_IDNA,18/01/2027 09:59:17,0.39,4,,,
xn--fotoraf-qbb9n,fotoğrafı,European (Latin Extended),photo,"PUNY_IDNA,European",18/01/2027 09:59:17,12.2,254,,,
xn--dnfotoraf-q9aa33bga9w,düğünfotoğrafı,European (Latin Extended),weddingphoto,"PUNY_IDNA,European",18/01/2027 09:59:17,0,4,,,
xn--u1aaaa,хххх,Cyrillic (Russian/Ukrainian),xxxx,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,1,7,,,
xn--85a200k,ӟḋ,Cyrillic (Russian/Ukrainian),ӟḋ,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,0.6,,,
xn--80af6aaljmg3h1c,фотографія,Cyrillic (Russian/Ukrainian),photo,"PUNY_IDNA,Cyrillic",18/01/2027 09:59:17,0,76,,,
xn--b2wz32c,薄涛,Chinese/Japanese/Korean,Bo Tao,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0.66,1,,,
xn--zbv,改,Chinese/Japanese/Korean,change,"PUNY_IDNA,CJK",18/01/2027 09:59:17,1.34,197,,,
xn--wgv71aj92d,日本茶,Chinese/Japanese/Korean,Japanese tea,"PUNY_IDNA,CJK",18/01/2027 09:59:17,0,13,,,
xn--45q71w,八宝,Chinese/Japanese/Korean,eight treasures,"PUNY_IDNA,CJK",18/01/2027 09:59:17,8,8.01,,,
xn--zr8hjae476b,💙💔💚🤎,BLUE HEART + BROKEN HEART + GREEN HEART + BROWN HEART,,PUNY_IDNA,18/01/2027 09:59:17,0,4,,,
purpleland,,,,,18/01/2027 09:59:17,0,4,,,
thzotr,,,,,15/02/2027 01:20:53,0,0,,,
853211,,,,6D,18/01/2027 09:59:17,0,1,,,
jmms,,,,4L,18/01/2027 09:59:17,0,30,,,
el-nino,,,,,18/01/2027 09:59:17,0.1,13,99999,,ES ‘the boy’
hrtohs,,,,,15/02/2027 01:20:53,0,0,,,
faxun,,,,5L,18/01/2027 09:59:17,10,132,,,
trthso,,,,,15/02/2027 01:20:53,0,0,,,
actgovau,,,,,18/01/2027 09:59:17,0.37,134,,,
death-bell,,,,,18/01/2027 09:59:17,0.3,4,,,
timothym,,,,,18/01/2027 09:59:17,1.19,163,,,
timax4l,,,,,18/01/2027 09:59:17,0.5,5.51,,,
heala,,,,5L,18/01/2027 09:59:17,0.36,11,,,
trhots,,,,,15/02/2027 01:20:53,0,0,,,
trztoh,,,,,15/02/2027 01:20:53,0,0,,,
brittneysmith,,,,,18/01/2027 09:59:17,1.21,14,,,
questtracking,,,,,22/08/2027 02:32:53,0,21.45,,,
creepyoldphotos,,,,,18/01/2027 09:59:17,0,1,,,
streuth,,,,,18/01/2027 09:59:17,0.42,27,,,
amazingdeath,,,,,18/01/2027 09:59:17,71,97,,,
otrhzt,,,,,15/02/2027 01:20:53,0,0,,,
rstho,,,,5L,15/02/2027 01:20:53,0,0,,,
nftphotography,,,,,18/01/2027 09:59:17,91,476,,,
allwise,,,,,18/01/2027 09:59:17,10,17,,,
rthso,,,,5L,15/02/2027 01:20:53,0,0,,,
8cru,,,,4C,18/01/2027 09:59:17,0,1,,,
hnsih,,,,5L,18/01/2027 09:59:17,3,12.5,,,
3dvidio,,,,,18/01/2027 09:59:17,1,2,,,
htxotr,,,,,15/02/2027 01:20:53,0,0,,,
grayphotography,,,,,18/01/2027 09:59:17,0.4,4,,,
questmove,,,,,22/08/2027 02:32:53,0,21.45,,,
naturfotos,,,,,18/01/2027 09:59:17,0,157,,,
691t,,,,4C,18/01/2027 09:59:17,0,0.4,,,
friedworms,,,,,18/01/2027 09:59:17,0,8,,,
hnsib,,,,5L,18/01/2027 09:59:17,3,12.5,,,
mrsp5lrfaoxtjzvsihwj2asebw3wngnoaptwwa376qs7ubbiyppa,,,,,18/01/2027 09:59:17,0,25.5,,,
anyos,,,,5L,18/01/2027 09:59:17,2,187,,,
nig-fag,,,,,18/01/2027 09:59:17,0,3,,,
hnsij,,,,5L,18/01/2027 09:59:17,3,12.5,,,
tim4x4l,,,,,18/01/2027 09:59:17,0,7,,,
orxtht,,,,,15/02/2027 01:20:53,0,0,,,
rodge,,,,5L,18/01/2027 09:59:17,0,2,,,
trthxo,,,,,15/02/2027 01:20:53,0,0,,,
claretred,,,,,18/01/2027 09:59:17,0,0,,,
addressusa,,,,,18/01/2027 09:59:17,0,0.4,,,
naturfotograf,,,,,18/01/2027 09:59:17,0.4,34,,,
htzort,,,,,15/02/2027 01:20:53,0,0,,,
playerjoining,,,,,22/08/2027 02:32:53,0,21.45,,,
paleasdeath,,,,,18/01/2027 09:59:17,0,0,,,
thzort,,,,,15/02/2027 01:20:53,0,0,,,
donaldjames,,,,,18/01/2027 09:59:17,1.21,222,,,
tohrzt,,,,,15/02/2027 01:20:53,0,0,,,
phungu,,,,,18/01/2027 09:59:17,1.906622,2,,,
t1max4l,,,,,18/01/2027 09:59:17,0.5,5.51,,,
hnsim,,,,5L,18/01/2027 09:59:17,3,753,,,
hrstoh,,,,,15/02/2027 01:20:53,0,0,,,
t-i-d-e,,,,,18/01/2027 09:59:17,202,503,,,
fotouti,,,,,18/01/2027 09:59:17,1.3,4,,,
wavebliss,,,,,18/01/2027 09:59:17,1e-06,4,,,
handshakepoet,,,,,18/01/2027 09:59:17,0,4,,,
bambelo,,,,,18/01/2027 09:59:17,1.010001,4,,,
rayjo,,,,5L,18/01/2027 09:59:17,4,5,,,
questline,,,,,22/08/2027 02:32:53,0,21.45,,,
thztro,,,,,15/02/2027 01:20:53,0,0,,,
hnsarmy,,,,,18/01/2027 09:59:17,18,37,,,
vicgovau,,,,,18/01/2027 09:59:17,0,172,,,
proof-read,,,,,18/01/2027 09:59:17,1.05,15,,,
trtohx,,,,,15/02/2027 01:20:53,0,0,,,
trutopian,,,,,18/01/2027 09:59:17,1.41,13,,,
releasegive,,,,,18/01/2027 09:59:17,0,0,,,
fotosdefamilia,,,,,18/01/2027 09:59:17,0.4,3,,,
photophrag,,,,,18/01/2027 09:59:17,0,1.01,,,
thrtxo,,,,,15/02/2027 01:20:53,0,0,,,
hrxoth,,,,,15/02/2027 01:20:53,0,0,,,
1769t,,,,5C,18/01/2027 09:59:17,0,14,,,
yarie,,,,5L,18/01/2027 09:59:17,5,7,,,
hrshot,,,,,15/02/2027 01:20:53,0,0,,,
groundedly,,,,,18/01/2027 09:59:17,0.414999,4,,,
whalet,,,,,18/01/2027 09:59:17,1.53,17,,,
htothrs,,,,,15/02/2027 01:20:53,0,0,,,
numeronym,,,,,18/01/2027 09:59:17,0,1,,,
maryuk,,,,,18/01/2027 09:59:17,1.7,14,,,
willgift,,,,,18/01/2027 09:59:17,0.708,2,,,
hnsif,,,,5L,18/01/2027 09:59:17,3,12.5,,,
skatebaord,,,,,18/01/2027 09:59:17,0,0.4,,,
3dnet,,,,5C,18/01/2027 09:59:17,0,5,,,
thrtoz,,,,,15/02/2027 01:20:53,0,0,,,
orstht,,,,,15/02/2027 01:20:53,0,0,,,
gaintrack,,,,,22/08/2027 02:32:53,0,21.45,,,
thortz,,,,,15/02/2027 01:20:53,0,785.682,,,
wormboygenius,,,,,18/01/2027 09:59:17,0,2,,,
otzhtr,,,,,15/02/2027 01:20:53,0,0,,,
t1maxal,,,,,18/01/2027 09:59:17,0.5,5.51,,,
undertakerlike,,,,,18/01/2027 09:59:17,0.05,1,,,
fotofrag,,,,,18/01/2027 09:59:17,0,1.01,,,
timmyco,,,,,18/01/2027 09:59:17,4.504999,6,,,
openloans,,,,,18/01/2027 09:59:17,0.11,4,,,
teee,,,,4L,18/01/2027 09:59:17,777,1756,,,
movedeath,,,,,18/01/2027 09:59:17,0,0.794,,,
htorst,,,,,15/02/2027 01:20:53,0,0,,,
rhtso,,,,5L,15/02/2027 01:20:53,0,0,,,
wagovau,,,,,18/01/2027 09:59:17,0.32,123,,,
torthx,,,,,15/02/2027 01:20:53,0,0,,,
rzhto,,,,5L,15/02/2027 01:20:53,0,0,,,
hrsorh,,,,,15/02/2027 01:20:53,0,0,,,
toshtr,,,,,15/02/2027 01:20:53,0,0,,,
friendfish,,,,,18/01/2027 09:59:17,0,4,,,
gold-bug,,,,,18/01/2027 09:59:17,0,4,,,
gt01,,,,4C,18/01/2027 09:59:17,0,93,,,
rubricity,,,,,18/01/2027 09:59:17,0,4,,,
otxthr,,,,,15/02/2027 01:20:53,0,0,,,
hrosth,,,,,15/02/2027 01:20:53,0,0,,,
gt05,,,,4C,18/01/2027 09:59:17,0,24,,,
misterdj,,,,,18/01/2027 09:59:17,5,7,,,
big-win,,,,,18/01/2027 09:59:17,0.41,3,,,
4dnfts,,,,,18/01/2027 09:59:17,0,0.1,,,
throts,,,,,15/02/2027 01:20:53,0,32.495,,,
debtafterdeath,,,,,18/01/2027 09:59:17,0,13,,,
17011969,,,,,18/01/2027 09:59:17,0,1.01,,,
hrothst,,,,,15/02/2027 01:20:53,0,0,,,
baby-killer,,,,,18/01/2027 09:59:17,0,3,,,
hautejpegs,,,,,18/01/2027 09:59:17,0,1,,,
garden-mold,,,,,18/01/2027 09:59:17,0,2,,,
photobookdesign,,,,,18/01/2027 09:59:17,0,3,,,
ninjathug,,,,,18/01/2027 09:59:17,0.005,21,,,
gt02,,,,4C,18/01/2027 09:59:17,0,27,,,
trxoht,,,,,15/02/2027 01:20:53,0,0,,,
urbanpress,,,,,18/01/2027 09:59:17,0,14,,,
paleasacorpse,,,,,18/01/2027 09:59:17,0,0,,,
laxamit,,,,,18/01/2027 09:59:17,0,13,,,
newsreward,,,,,18/01/2027 09:59:17,0.013,4,,,
rhtos,,,,5L,15/02/2027 01:20:53,0,0,,,
trata_de_blancas,,,,,18/01/2027 09:59:17,0,15,,,
boyswear,,,,,18/01/2027 09:59:17,0.27,7,,,
naturalmineral,,,,,18/01/2027 09:59:17,0.34,12,,,
birthflower,,,,,18/01/2027 09:59:17,0,4,,,
rephotograph,,,,,18/01/2027 09:59:17,0.02,1,,,
useyellow,,,,,18/01/2027 09:59:17,0.7151,3,,,
redgoods,,,,,18/01/2027 09:59:17,0,2,,,
kingtea,,,,,18/01/2027 09:59:17,0,14,,,
gt06,,,,4C,18/01/2027 09:59:17,0,76,,,
luckyrx,,,,,18/01/2027 09:59:17,1,3,,,
nftgraphy,,,,,18/01/2027 09:59:17,1.19,11,,,
hnsip,,,,5L,18/01/2027 09:59:17,100.41,277,,,
thorts,,,,,15/02/2027 01:20:53,0,397.736,,,
gt04,,,,4C,18/01/2027 09:59:17,0,23,,,
othrx,,,,5L,15/02/2027 01:20:53,0,0,,,
thecryptobook,,,,,18/01/2027 09:59:17,0,2,,,
rzoht,,,,5L,15/02/2027 01:20:53,0,0,,,
autim,,,,5L,18/01/2027 09:59:17,0,0,,,
otzrht,,,,,15/02/2027 01:20:53,0,0,,,
bestsheets,,,,,18/01/2027 09:59:17,0.5,6,,,
rhtozt,,,,,15/02/2027 01:20:53,0,0,,,
tshirt,,,,,18/01/2027 09:59:17,500.01,1534,,,
difficultchild,,,,,18/01/2027 09:59:17,0,4,,,
toxtrh,,,,,15/02/2027 01:20:53,0,0,,,
petnow,,,,,18/01/2027 09:59:17,1.1,12.2,,,
unitednationdao,,,,,18/01/2027 09:59:17,1.16,17,,,
hideother,,,,,18/01/2027 09:59:17,0,0.741,,,
torths,,,,,15/02/2027 01:20:53,0,40.324,,,
hrozth,,,,,15/02/2027 01:20:53,0,0,,,
missmultiverse,,,,,18/01/2027 09:59:17,0.92,17,,,
robloxart,,,,,18/01/2027 09:59:17,4.97,11,,,
7im4xal,,,,,18/01/2027 09:59:17,0.5,5.51,,,
june1,,,,5C,18/01/2027 09:59:17,0.33,27,,,
herbalize,,,,,18/01/2027 09:59:17,0,4,,,
nftphotos,,,,,18/01/2027 09:59:17,91,796,,,
tmth,,,,4L,18/01/2027 09:59:17,2.04,18.7,,,
yellowcolor,,,,,18/01/2027 09:59:17,0,0,,,
11even,,,,,18/01/2027 09:59:17,0,1,,,
roundrotation,,,,,22/08/2027 02:32:53,0,21.45,,,
gangliar,,,,,18/01/2027 09:59:17,0.3,4,,,
ultim8,,,,,18/01/2027 09:59:17,0,17,,,
71max4l,,,,,18/01/2027 09:59:17,0.5,5.51,,,
attheend,,,,,18/01/2027 09:59:17,0,8,,,
13ez,,,,4C,18/01/2027 09:59:17,0.5,3,,,
protographer,,,,,18/01/2027 09:59:17,0,1.8,,,
aussieshaker,,,,,18/01/2027 09:59:17,0,0,,,
trsoth,,,,,15/02/2027 01:20:53,0,0,,,
australianlotto,,,,,18/01/2027 09:59:17,25,301,,,
underphoto,,,,,18/01/2027 09:59:17,0,27,,,
wuxing,,,,,06/02/2027 07:20:53,10,276,,,
othrzt,,,,,15/02/2027 01:20:53,0,0,,,
beardtree,,,,,18/01/2027 09:59:17,10,17,,,
autisminstitute,,,,,18/01/2027 09:59:17,0,67,,,
autismtherapy,,,,,18/01/2027 09:59:17,5.111,34,,,
sikjan,,,,,18/01/2027 09:59:17,0.01,5,,,
untildeath,,,,,18/01/2027 09:59:17,0.3,17,,,
photographyapps,,,,,18/01/2027 09:59:17,0,3,,,
thesunnycoast,,,,,18/01/2027 09:59:17,0.74,250,,,
gemflipper,,,,,18/01/2027 09:59:17,0,2,,,
pearlcare,,,,,18/01/2027 09:59:17,0,1,,,
tostrh,,,,,15/02/2027 01:20:53,0,0,,,
cidda,,,,5L,18/01/2027 09:59:17,2,15,,,
p-r-e-s-s,,,,,18/01/2027 09:59:17,0.45,18,,,
xhate,,,,5L,18/01/2027 09:59:17,0.41,8,,,
htxtro,,,,,15/02/2027 01:20:53,0,0,,,
faggot-nigger,,,,,18/01/2027 09:59:17,0,3,,,
feebill,,,,,18/01/2027 09:59:17,0,7,,,
stereophoto,,,,,18/01/2027 09:59:17,0,120,,,
roundtoit,,,,,18/01/2027 09:59:17,0,10,,,
thisme,,,,,18/01/2027 09:59:17,4.3,13,,,
undaberg,,,,,18/01/2027 09:59:17,0,275,,,
diceboard,,,,,22/08/2027 02:32:53,0,21.45,,,
surfimages,,,,,18/01/2027 09:59:17,0,37,,,
taskexchange,,,,,22/08/2027 02:32:53,0,21.45,,,
autismlive,,,,,18/01/2027 09:59:17,0.1,3,,,
thzrto,,,,,15/02/2027 01:20:53,0,0,,,
xfot,,,,4L,18/01/2027 09:59:17,0.11,5,,,
rtohs,,,,5L,15/02/2027 01:20:53,0,0,,,
grafix,,,,,18/01/2027 09:59:17,0,0.01,,,
wunfoto,,,,,18/01/2027 09:59:17,0,1.01,,,
t1m4xal,,,,,18/01/2027 09:59:17,0.5,5.51,,,
proequity,,,,,18/01/2027 09:59:17,0,3,,,
hackdeeznuts,,,,,18/01/2027 09:59:17,1.35,7,,,
timalander,,,,,18/01/2027 09:59:17,0.69,1,,,
freephotoalbum,,,,,18/01/2027 09:59:17,0.5,2,,,
sydne,,,,5L,18/01/2027 09:59:17,0,0.333,,,
ngnx,,,,4L,18/01/2027 09:59:17,10,43,,,
12rf,,,,4C,18/01/2027 09:59:17,5,16,,,
